brain_region,measurement,standard_deviation,measurement_type,measurement_unit,cell_type,source_title,comment,specimen_age
Dentate gyrus,650.0,50.0,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
"Dentate gyrus, polymorph layer",745.0,180.0,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
"Dentate gyrus, granule cell layer",2110.0,140.0,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
"Dentate gyrus, molecular layer",110.0,25.0,cell density,number of cells per mm^3,PV+,Cellular architecture of the mouse hippocampus: A quantitative aspect of chemically defined GABAergic neurons with stereology,"Table 4
Assume mean density equals to the mean of the dorsal and ventral values",Adult
Anterior cingulate area,2197.5,137.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Dorsal peduncular area,1032.5,185.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Infralimbic area,872.5,65.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Primary motor area,2727.5,617.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Secondary motor area,2505.0,330.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Prelimbic area,1227.5,175.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Retrosplenial area, lateral agranular part",4845.0,697.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Primary somatosensory area,3717.5,477.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Primary somatosensory area, barrel field",4432.5,732.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Primary somatosensory area, mouth",3652.5,290.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Primary somatosensory area, trunk",4380.0,657.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Supplemental somatosensory area,3205.0,95.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Primary visual area,4401.25,502.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Lateral visual area,3756.25,315.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Posterolateral visual area,3756.25,315.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Anterolateral visual area,3756.25,315.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Anteromedial visual area,2975.0,272.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
posteromedial visual area,2975.0,272.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Primary auditory area,3690.0,250.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Dorsal auditory area,3480.0,227.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Ventral auditory area,2735.0,202.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Ectorhinal area,540.0,50.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Entorhinal area, medial part, dorsal zone",460.0,102.5,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
"Entorhinal area, lateral part",1162.5,80.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Perirhinal area,1075.0,80.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Temporal association areas,1452.5,185.0,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Field CA1,983.75,108.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Field CA3,1536.25,378.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Dentate gyrus,1452.5,23.75,cell density,number of cells per mm^3,PV+,Comparative density of CCK- and PV-GABA cells within the cortex and hippocampus,"Table 1
40 μM sections
Assume mean density equals to the mean of the dorsal and ventral region values
Merge primary basal and medial areas
Merge visual cortex lateral and medial zones ",3–8 months old
Piriform-amygdalar area,1811.0236220470001,896.663259,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
Field CA1,938.271604938,766.0955574,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
Field CA3,2419.75308642,645.133101,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
Dentate gyrus,3226.33744856,1612.832752,cell density,number of cells per mm^3,PV+,GABA concentration and GABAergic neuron populations in limbic areas are differentially altered by brain serotonin deficiency in Tph2 knockout mice,Extracted from Figure 3 and 4,3 months
Striatum,4565.2173913043,133.8783233,cell density,number of cells per mm^3,PV+,ANALYSIS OF NEURONAL SUBPOPULATIONS IN MICEOVER-EXPRESSING SUPPRESSOR OF CYTOKINE SIGNALING-2,Extracted from Figure 8,2-3 months
Hippocampal region,3430.379747,348.8197419,cell density,number of cells per mm^3,PV+,"Age‐dependent loss of parvalbumin‐expressing hippocampal interneurons in mice deficient in CHL1, a mental retardation and schizophrenia susceptibility gene",Extracted from Figure 1 and 2,6-month-old 
Anterior cingulate area,8159.806295,3173.067827,cell density,number of cells per mm^3,PV+,"Age‐dependent loss of parvalbumin‐expressing hippocampal interneurons in mice deficient in CHL1, a mental retardation and schizophrenia susceptibility gene",Extracted from Figure 1 and 2,6-month-old 
Field CA1,1709.3023260000002,381.6646809,cell density,number of cells per mm^3,PV+,"Age‐dependent loss of parvalbumin‐expressing hippocampal interneurons in mice deficient in CHL1, a mental retardation and schizophrenia susceptibility gene",Extracted from Figure 1 and 2,6-month-old 
Somatosensory areas,5338.164251,1242.494797,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Triangular nucleus of septum,1714.975845,576.8725843999999,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Field CA1,1509.661836,325.415304,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Field CA2,2282.6086956522,621.2473985319,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Field CA3,2282.6086956522,621.2473985319,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Dentate gyrus,531.4009662,295.8320945,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Inferior colliculus,4794.68599,887.4962836000001,cell density,number of cells per mm^3,PV+,Deletion of Selenoprotein M Leads to Obesity without Cognitive Deficits,"Extracted from figure 3B
40um thick slices
density = counts/mm^2/40*1000
n=6",12–20 weeks
Somatomotor areas,1489.071038,183.06010930000002,cell density,number of cells per mm^3,PV+,Heterozygosity for the mutated X-chromosome-linked L1 celladhesion molecule gene leads to increased numbers of neuronsand enhanced metabolism in the forebrain of female carrier mice,"Extracted from Figure 1I
50um thick slices
density = counts/mm^2/50*1000", 4-month-old
Somatosensory areas,2207.650273,193.989071,cell density,number of cells per mm^3,PV+,Heterozygosity for the mutated X-chromosome-linked L1 celladhesion molecule gene leads to increased numbers of neuronsand enhanced metabolism in the forebrain of female carrier mice,"Extracted from Figure 1I
50um thick slices
density = counts/mm^2/50*1000", 4-month-old
Dentate gyrus,1088.058706,211.0740494,cell density,number of cells per mm^3,PV+,ProNGF Drives Localized and Cell Selective Parvalbumin Interneuron and Perineuronal Net Depletion in the Dentate Gyrus of Transgenic Mice,"Extracted from Figure 1CE
n=4",12 months
Basolateral amygdalar nucleus,1448.1830417227,183.0417227,cell density,number of cells per mm^3,PV+,ProNGF Drives Localized and Cell Selective Parvalbumin Interneuron and Perineuronal Net Depletion in the Dentate Gyrus of Transgenic Mice,"Extracted from Figure 1CE
n=4",12 months
Striatum,1432.1926489226998,245.88086189999999,cell density,number of cells per mm^3,PV+,Quantitative morphological analysis of the neostriatum and the cerebellum of tenascin-C deficient mice,Extracted from Figure 7,5 months
Entorhinal area,4810.9965635739,893.4707903999999,cell density,number of cells per mm^3,PV+,Extracellular Amyloid- β and Cytotoxic Glial Activation Induce Significant Entorhinal Neuron Loss in Young PS1 M 146L /APP 751SL Mice,Extracted from Figure 1,6 months
Subiculum,10721.93,3057.86,cell density,number of cells per mm^3,PV+,Early Neuronal Loss and Axonal/PresynapticDamage is Associated with AcceleratedAmyloid-_x0001_Accumulation in A_x0001_PP/PS1Alzheimer’s Disease Mice Subiculum,Extracted from Figure 1 and text,6 months
Somatomotor areas,3896.0,653.0,cell density,number of cells per mm^3,PV+,Cortical distribution of GABAergic interneurons is determinedby migration time and brain size,"40 μm coronal slices
Extracted from Figure 1
n=4 for PV
n=7 for SST
n=6 for VIP",P14
Somatosensory areas,5576.0,860.5,cell density,number of cells per mm^3,PV+,Cortical distribution of GABAergic interneurons is determinedby migration time and brain size,"40 μm coronal slices
Extracted from Figure 1
n=4 for PV
n=7 for SST
n=6 for VIP",P14
Visual areas,3135.5,978.5,cell density,number of cells per mm^3,PV+,Cortical distribution of GABAergic interneurons is determinedby migration time and brain size,"40 μm coronal slices
Extracted from Figure 1
n=4 for PV
n=7 for SST
n=6 for VIP",P14
"Frontal pole, cerebral cortex",1081.0,304.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Primary motor area,1267.0,426.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Secondary motor area,1261.0,546.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, nose",1557.0,136.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, barrel field",1673.0,334.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, lower limb",1816.0,326.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, mouth",1174.0,220.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, upper limb",1766.0,640.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, trunk",1982.0,606.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Primary somatosensory area, unassigned",1963.0,434.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Supplemental somatosensory area,1475.0,148.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Gustatory areas,1197.0,444.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Visceral area,1187.0,244.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Dorsal auditory area,1825.0,498.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Primary auditory area,1942.0,692.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Posterior auditory area,1397.0,534.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Ventral auditory area,1821.0,668.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Anterolateral visual area,1703.0,482.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Anteromedial visual area,2376.0,992.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Lateral visual area,1614.0,674.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Primary visual area,1855.0,710.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Posterolateral visual area,1498.0,756.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
posteromedial visual area,2241.0,728.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Laterointermediate area,1398.0,340.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Postrhinal area,1541.0,714.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Anterior cingulate area, dorsal part",1881.0,1002.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Anterior cingulate area, ventral part",1893.0,586.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Prelimbic area,1293.0,458.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Infralimbic area,1095.0,448.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Orbital area,1640.0,554.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Agranular insular area,1020.0,326.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Retrosplenial area, lateral agranular part",1621.0,614.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Retrosplenial area, dorsal part",1353.0,422.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Retrosplenial area, ventral part",1777.0,184.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Posterior parietal association areas,1677.0,574.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Temporal association areas,1449.0,618.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Perirhinal area,666.0,330.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Ectorhinal area,1065.0,348.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Main olfactory bulb,499.0,432.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Accessory olfactory bulb,100.0,96.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Anterior olfactory nucleus,430.0,290.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Taenia tecta,466.0,326.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Dorsal peduncular area,1493.0,788.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Piriform area,528.0,156.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Nucleus of the lateral olfactory tract,353.0,244.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Cortical amygdalar area,426.0,172.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Piriform-amygdalar area,199.0,232.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Postpiriform transition area,566.0,254.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Field CA1,651.0,240.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Field CA2,823.0,254.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Field CA3,612.0,304.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Dentate gyrus,178.0,112.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Induseum griseum,355.0,230.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Fasciola cinerea,996.0,608.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Entorhinal area, lateral part",607.0,150.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Entorhinal area, medial part, dorsal zone",1671.0,374.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
"Entorhinal area, medial part, ventral zone",1671.0,374.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Parasubiculum,2614.0,538.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Postsubiculum,2088.0,732.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Presubiculum,2525.0,800.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Subiculum,2072.0,338.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Prosubiculum,1167.0,310.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
Hippocampo-amygdalar transition area,1047.0,592.0,cell density,number of cells per mm^3,PV+,Densities and numbers of calbindin and parvalbumin positive neurons across the rat and mouse brain,"Densities extracted from suplementary table 1
n = 4",6  months  old
